Algoritmo,Tamanho,Seed,Tempo(ms),Trocas,Iteracoes
InsertSort,1000,42,25,252747,254745
QuickSort,1000,42,0,6259,12996
MergeSort,1000,42,3,19952,10723
GnomeSort,1000,42,3,252747,506494
InsertSort,1000,99,0,251631,253629
QuickSort,1000,99,1,4191,11145
MergeSort,1000,99,0,19952,10722
GnomeSort,1000,99,0,251631,504262
InsertSort,1000,123,2,253496,255494
QuickSort,1000,123,0,5248,12454
MergeSort,1000,123,0,19952,10711
GnomeSort,1000,123,0,253496,507992
InsertSort,1000,2024,11,246765,248763
QuickSort,1000,2024,0,6347,13087
MergeSort,1000,2024,0,19952,10677
GnomeSort,1000,2024,0,246765,494530
InsertSort,1000,777,0,247592,249590
QuickSort,1000,777,0,5152,11854
MergeSort,1000,777,0,19952,10707
GnomeSort,1000,777,0,247592,496184
InsertSort,10000,42,35,25124907,25144905
QuickSort,10000,42,0,65863,165974
MergeSort,10000,42,0,267232,140556
GnomeSort,10000,42,76,25124907,50259814
InsertSort,10000,99,6,25036531,25056529
QuickSort,10000,99,0,72559,161157
MergeSort,10000,99,0,267232,140466
GnomeSort,10000,99,92,25036531,50083062
InsertSort,10000,123,9,24840142,24860140
QuickSort,10000,123,0,67002,167758
MergeSort,10000,123,0,267232,140508
GnomeSort,10000,123,69,24840142,49690284
InsertSort,10000,2024,8,25006916,25026914
QuickSort,10000,2024,0,78174,167815
MergeSort,10000,2024,0,267232,140448
GnomeSort,10000,2024,62,25006916,50023832
InsertSort,10000,777,8,24775042,24795040
QuickSort,10000,777,0,68984,175051
MergeSort,10000,777,0,267232,140493
GnomeSort,10000,777,63,24775042,49560084
InsertSort,100000,42,851,2496538392,2496738390
QuickSort,100000,42,7,893062,2113337
MergeSort,100000,42,10,3337856,1736549
GnomeSort,100000,42,5676,2496538392,4993176784
InsertSort,100000,99,654,2496659240,2496859238
QuickSort,100000,99,10,961586,2160927
MergeSort,100000,99,13,3337856,1736575
GnomeSort,100000,99,5295,2496659240,4993418480
InsertSort,100000,123,639,2497075035,2497275033
QuickSort,100000,123,8,901676,2194816
MergeSort,100000,123,13,3337856,1736314
GnomeSort,100000,123,5325,2497075035,4994250070
InsertSort,100000,2024,651,2500484393,2500684391
QuickSort,100000,2024,5,836529,2057454
MergeSort,100000,2024,19,3337856,1736085
GnomeSort,100000,2024,5382,2500484393,5001068786
InsertSort,100000,777,676,2500069113,2500269111
QuickSort,100000,777,10,1029936,2165867
MergeSort,100000,777,13,3337856,1736240
GnomeSort,100000,777,5397,2500069113,5000238226
InsertSort,500000,42,17557,62448059177,62449059175
QuickSort,500000,42,54,5903422,12605327
MergeSort,500000,42,98,18951424,9836952
GnomeSort,500000,42,174257,62448059177,124896618354
InsertSort,500000,99,25292,62501339039,62502339037
QuickSort,500000,99,60,5392227,12146185
MergeSort,500000,99,110,18951424,9837033
GnomeSort,500000,99,201459,62501339039,125003178078
InsertSort,500000,123,25059,62512668718,62513668716
QuickSort,500000,123,67,5755860,12305246
MergeSort,500000,123,198,18951424,9836899
GnomeSort,500000,123,194541,62512668718,125025837436
InsertSort,500000,2024,25909,62500044831,62501044829
QuickSort,500000,2024,56,5831392,12277850
MergeSort,500000,2024,143,18951424,9837210
GnomeSort,500000,2024,206541,62500044831,125000589662
InsertSort,500000,777,23949,62438200040,62439200038
QuickSort,500000,777,62,5424043,12123690
MergeSort,500000,777,97,18951424,9837075
GnomeSort,500000,777,176977,62438200040,124876900080
InsertSort,1000000,42,70625,249917265059,249919265057
QuickSort,1000000,42,89,12248566,26760698
MergeSort,1000000,42,147,39902848,20674891
GnomeSort,1000000,42,637368,249917265059,499835530118
InsertSort,1000000,99,101497,249842185505,249844185503
QuickSort,1000000,99,145,11485624,25648817
MergeSort,1000000,99,276,39902848,20674086
GnomeSort,1000000,99,625685,249842185505,499685371010
InsertSort,1000000,123,65526,250080381308,250082381306
QuickSort,1000000,123,96,11820491,25691526
MergeSort,1000000,123,167,39902848,20674820
GnomeSort,1000000,123,685165,250080381308,500161762616
InsertSort,1000000,2024,83761,249858214504,249860214502
QuickSort,1000000,2024,101,11892268,26470435
MergeSort,1000000,2024,267,39902848,20674069
GnomeSort,1000000,2024,654833,249858214504,499717429008
InsertSort,1000000,777,96344,249946159846,249948159844
QuickSort,1000000,777,94,11609933,25924452
MergeSort,1000000,777,490,39902848,20674655
GnomeSort,1000000,777,842358,249946159846,499893319692
